rank,sweep_stage,title,year,venue,authors,doi,url,source,citation_count,query_hits,concepts,focus_tags,relevance_score,hostile_score,abstract_snippet,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
818,landscape,Robotic Process Automation: Contemporary themes and challenges,2019,Computers in Industry,Rehan Syed; Suriadi Suriadi; Michael Adams; Wasana Bandara; Sander J. J. Leemans; Chun Ouyang; Arthur H. M. ter Hofstede; Inge van de Weerd,10.1016/j.compind.2019.103162,https://doi.org/10.1016/j.compind.2019.103162,openalex,521,intervention_learning,Automation; Workload; Process (computing); Field (mathematics); Robot; Computer science; Workforce; Software,intervention learning,8.767,14.767,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
819,landscape,Legged robots for object manipulation: A review,2023,Frontiers in Mechanical Engineering,Yifeng Gong; Ge Sun; Aditya Nair; Aditya Bidwai; Raghuram CS; John Grezmak; Guillaume Sartoretti; Kathryn A. Daltorio,10.3389/fmech.2023.1142421,https://doi.org/10.3389/fmech.2023.1142421,openalex,31,shared_autonomy,Robot; Legged robot; Robotics; Artificial intelligence; Object (grammar); Computer science; Human-computer interaction; Terrain,kinesthetic teaching; preference learning; reward inference; safety/control,8.741,10.978,"Legged robots can have a unique role in manipulating objects in dynamic, human-centric, or otherwise inaccessible environments. Although most legged robotics research to date typically focuses on traversing these challenging environments, many legged platform demonstrations have also included ""moving an object"" as a way of doing tangible work. Legged robots can be designed to manipulate a particular type of object (e.g., a cardboard box, a soccer ball, or a larger piece of furniture), by themselves or collaboratively. The objective of this review is to collect and learn from these examples, to",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the feedback can be explained by a stable latent objective; the teacher can show behavior close enough to the desired policy,feature map; reward family,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
820,landscape,Representation and learning in motor action - Bridges between experimental research and cognitive robotics,2013,New Ideas in Psychology,Thomas Schack; Helge Ritter,10.1016/j.newideapsych.2013.04.003,https://doi.org/10.1016/j.newideapsych.2013.04.003,openalex,42,interactive_imitation; lfd,Action (physics); Categorization; Cognition; Mental representation; Perception; Psychology; Representation (politics); Task (project management),robot learning adjacent,8.723,11.158,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
821,landscape,Bodystorming Human-Robot Interactions,2019,,David Porfirio; Evan Fisher; Allison Saupp; Aws Albarghouthi; Bilge Mutlu,10.1145/3332165.3347957,https://doi.org/10.1145/3332165.3347957,openalex,44,kinesthetic_teaching,Computer science; Human-computer interaction; Robot; Session (web analytics); Context (archaeology); Human-robot interaction; Artificial intelligence; World Wide Web,kinesthetic teaching,8.693,11.159,"Designing and implementing human-robot interactions requires numerous skills, from having a rich understanding of social interactions and the capacity to articulate their subtle requirements, to the ability to then program a social robot with the many facets of such a complex interaction. Although designers are best suited to develop and implement these interactions due to their inherent understanding of the context and its requirements, these skills are a barrier to enabling designers to rapidly explore and prototype ideas: it is impractical for designers to also be experts on social interact",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
822,landscape,Learning Models for Shared Control of Human-Machine Systems with Unknown Dynamics,2017,,Alexander Broad; Todd D. Murphey; Brenna Argall,10.15607/rss.2017.xiii.037,https://doi.org/10.15607/rss.2017.xiii.037,openalex,55,shared_autonomy,Computer science; Dynamics (music); Control (management); Human-machine system; Artificial intelligence; Human-computer interaction; Machine learning; Psychology,kinesthetic teaching; shared autonomy; safety/control,8.690,11.301,"We present a novel approach to shared control of human-machine systems. Our method assumes no a priori knowledge of the system dynamics. Instead, we learn both the dynamics and information about the user's interaction from observation through the use of the Koopman operator. Using the learned model, we define an optimization problem to compute the optimal policy for a given task, and compare the user input to the optimal input. We demonstrate the efficacy of our approach with a user study. We also analyze the individual nature of the learned models by comparing the effectiveness of our approac",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy; the robot can infer intent while sharing control authority,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
823,landscape,Cancer Diagnosis Using Deep Learning: A Bibliographic Review,2019,Cancers,Khushboo Munir; Hassan Elahi; Afsheen Ayub; Fabrizio Frezza; Antonello Rizzi,10.3390/cancers11091235,https://doi.org/10.3390/cancers11091235,openalex,424,correction_learning,Artificial intelligence; Convolutional neural network; Computer science; Deep learning; Jaccard index; Receiver operating characteristic; Machine learning; Srensen-Dice coefficient,physical correction,8.677,12.618,"In this paper, we first describe the basics of the field of cancer diagnosis, which includes steps of cancer diagnosis followed by the typical classification methods used by doctors, providing a historical idea of cancer classification techniques to the readers. These methods include Asymmetry, Border, Color and Diameter (ABCD) method, seven-point detection method, Menzies method, and pattern analysis. They are used regularly by doctors for cancer diagnosis, although they are not considered very efficient for obtaining better performance. Moreover, considering all types of audience, the basic","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
824,landscape,Complexity-Driven Trust Dynamics in Human-Robot Interactions: Insights from AI-Enhanced Collaborative Engagements,2023,Applied Sciences,Yi Zhu; Taotao Wang; Chang Wang; Wei Quan; Mingwei Tang,10.3390/app132412989,https://doi.org/10.3390/app132412989,openalex,26,coactive_learning,Computer science; Field (mathematics); Robot; Perception; Task (project management); Human-robot interaction; Interpersonal communication; Human-computer interaction,preference learning; embodied hri,8.665,12.787,"This study explores the intricate dynamics of trust in human-robot interaction (HRI), particularly in the context of modern robotic systems enhanced by artificial intelligence (AI). By grounding our investigation in the principles of interpersonal trust, we identify and analyze both similarities and differences between trust in human-human interactions and human-robot scenarios. A key aspect of our research is the clear definition and characterization of trust in HRI, including the identification of factors influencing its development. Our empirical findings reveal that trust in HRI is not sta","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
825,landscape,An Embodied Model for Sensorimotor Grounding and Grounding Transfer: Experiments With Epigenetic Robots,2006,Cognitive Science,Angelo Cangelosi; Thomas Riga,10.1207/s15516709cog0000_72,https://doi.org/10.1207/s15516709cog0000_72,openalex,161,hri_correction; human_feedback; lfd; shared_autonomy,Action (physics); Cognition; Cognitive robotics; Cognitive science; Computer science; Embodied cognition; Imitation; Robot,physical correction; embodied hri,8.657,11.967,"The grounding of symbols in computational models of linguistic abilities is one of the fundamental properties of psychologically plausible cognitive models. In this article, we present an embodied model for the grounding of language in action based on epigenetic robots. Epigenetic robotics is one of the new cognitive modeling approaches to modeling autonomous mental development. The robot model is based on an integrative vision of language in which linguistic abilities are strictly dependent on and grounded in other behaviors and skills. It uses simulated robots that learn through imitation th","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
826,landscape,Coactive Learning for Locally Optimal Problem Solving,2014,Proceedings of the AAAI Conference on Artificial Intelligence,Robby Goetschalckx; Alan Fern; Prasad Tadepalli,10.1609/aaai.v28i1.9019,https://doi.org/10.1609/aaai.v28i1.9019,openalex,7,coactive_learning,Artificial intelligence; Computer science; Domain (mathematical analysis); Machine learning; Mathematical optimization; Online learning; Perceptron; Solver,preference learning,8.645,11.913,"Coactive learning is an online problem solving setting where the solutions provided by a solver are interactively improved by a domain expert, which in turn drives learning. In this paper we extend the study of coactive learning to problems where obtaining a globally optimal or near-optimal solution may be intractable or where an expert can only be expected to make small, local improvements to a candidate solution. The goal of learning in this new setting is to minimize the cost as measured by the expert effort over time. We first establish theoretical bounds on the average cost of the existin","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Elicits human preferences or improvements and fits a reward, ranking, or trajectory optimizer.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
827,landscape,Machine learning-XGBoost analysis of language networks to classify patients with epilepsy,2017,Brain Informatics,Laurent Torlay; Marcela PerroneBertolotti; Elizabeth Thomas; Monica Baciu,10.1007/s40708-017-0065-7,https://doi.org/10.1007/s40708-017-0065-7,openalex,488,correction_learning,Epilepsy; Cognition; Epilepsy surgery; Statistic; Computer science; Artificial intelligence; Psychology; Medicine,physical correction; reward inference,8.638,12.638,"Our goal was to apply a statistical approach to allow the identification of atypical language patterns and to differentiate patients with epilepsy from healthy subjects, based on their cerebral activity, as assessed by functional MRI (fMRI). Patients with focal epilepsy show reorganization or plasticity of brain networks involved in cognitive functions, inducing 'atypical' (compared to 'typical' in healthy people) brain profiles. Moreover, some of these patients suffer from drug-resistant epilepsy, and they undergo surgery to stop seizures. The neurosurgeon should only remove the zone generati","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,feature map,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
828,landscape,Interactive Robotic Plastering: Augmented Interactive Design and Fabrication for On-site Robotic Plastering,2022,CHI Conference on Human Factors in Computing Systems,Daniela Mitterberger; Selen Ercan Jenny; Lauren Vasey; Ena LloretFritschi; Petrus AejmelaeusLindstrm; Fabio Gramazio; Matthias Khler,10.1145/3491102.3501842,https://doi.org/10.1145/3491102.3501842,openalex,54,interactive_imitation; kinesthetic_teaching; shared_autonomy,Bubble; Computer science; Engineering; Human-computer interaction; Interactive design; Interface (matter); Maximum bubble pressure method; Process (computing),kinesthetic teaching; safety/control,8.632,11.231,"This paper presents Interactive Robotic Plastering (IRoP), a system enabling designers and skilled workers to engage intuitively with an in-situ robotic plastering process. The research combines three elements: interactive design tools, an augmented reality interface, and a robotic spraying system. Plastering is a complex process relying on tacit knowledge and craftsmanship, making it difficult to simulate and automate. However, our system utilizes a controller-based interaction system to enable diverse users to interactively create articulated plasterwork in-situ. A customizable computational","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
829,landscape,The effect of cognitive workload on decision authority assignment in human-robot collaboration,2022,Cognition Technology & Work,Michail Karakikes; Dimitris Nathanael,10.1007/s10111-022-00719-x,https://doi.org/10.1007/s10111-022-00719-x,openalex,27,shared_autonomy,Workload; Situation awareness; Robot; Task (project management); Situational ethics; Industrial and organizational psychology; Computer science; Applied psychology,preference learning; intervention learning; safety/control,8.631,14.778,"Abstract Human-robot collaboration in dynamic industrial environments warrants robot flexibility and shifting between tasks. Adaptive robot behavior unavoidably carries decision-making needs regarding task allocation and scheduling. Such decisions can be made either by the human team members or autonomously, by the robot's controlling algorithm. Human authority may help preserve situational awareness but increases mental demands due to increased responsibilities. Conversely, granting authority to the robot can offload the operator, at the cost of reduced intervention readiness. This paper aims",Claims that ranking or preference feedback can teach robot objectives without direct reward engineering.,"Elicits human preferences or improvements and fits a reward, ranking, or trajectory optimizer.",human input is treated as an informative training signal rather than only transient compliance; the feedback can be explained by a stable latent objective,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; the smallest useful correction may not be a preference query,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
830,landscape,Social Robots: Views of Staff of a Disability Service Organization,2014,International Journal of Social Robotics,Gregor Wolbring; Sophya Yumakulov,10.1007/s12369-014-0229-z,https://doi.org/10.1007/s12369-014-0229-z,openalex,67,interactive_imitation,Robotics; Robot; Artificial intelligence; Service (business); Psychology; Human-robot interaction; Human services; Social work,intervention learning; safety/control,8.626,13.365,"Social robotics is an emerging field, with many applications envisioned for people with disabilities. This project examined the so far invisible views of disability service organization workers towards social robotics. Because community service workers' views shape community-based rehabilitation (an area of health interventions that focuses on social determinants), it is important to examine their views towards social robotics applications which are largely developed under a clinical/medical view of disability. We administered a survey to employees of a Saskatchewan disability service organiza",Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
831,landscape,A review on self-healing polymers for soft robotics,2021,Materials Today,Seppe Terryn; Jakob Langenbach; Ellen Roels; Joost Brancart; Camille Bakkali-Hassani; Quentin-Arthur Poutrel; Antonia Georgopoulou; Thomas George Thuruthel,10.1016/j.mattod.2021.01.009,https://doi.org/10.1016/j.mattod.2021.01.009,openalex,295,intervention_learning,Soft robotics; Robotics; Soft materials; Artificial intelligence; Self-healing; Computer science; Construct (python library); Adaptation (eye),intervention learning,8.620,14.325,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
832,landscape,Soft and Rigid Object Grasping With Cross-Structure Hand Using Bilateral Control-Based Imitation Learning,2023,IEEE Robotics and Automation Letters,Koki Yamane; Yuki Saigusa; S. Sakaino; T. Tsuji,10.1109/LRA.2023.3335768,https://www.semanticscholar.org/paper/b612d30db510e23e8bf7840033b770abd1e6a15b,semanticscholar,23,interactive_imitation,,kinesthetic teaching; safety/control,8.612,10.654,"Object grasping is an important ability required for various robot tasks. In particular, tasks that require precise force adjustments during operation, such as grasping an unknown object or using a grasped tool, are difficult for humans to program in advance. Recently, AI-based algorithms that can imitate human force skills have been actively explored as a solution. In particular, bilateral control-based imitation learning achieves human-level motion speeds with environmental adaptability, only requiring human demonstration and without programming. However, owing to hardware limitations, its g",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
833,landscape,"Robotics cyber security: vulnerabilities, attacks, countermeasures, and recommendations",2021,International Journal of Information Security,Jean-Paul A. Yaacoub; Hassan Noura; Ola Salman; Ali Chehab,10.1007/s10207-021-00545-8,https://doi.org/10.1007/s10207-021-00545-8,openalex,285,intervention_learning,Computer security; Computer science; Context (archaeology); Robotics; Robot; Authentication (law); Domain (mathematical analysis); Order (exchange),intervention learning,8.605,14.287,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
834,landscape,Modeling Supervisor Safe Sets for Improving Collaboration in Human-Robot Teams,2018,,David L. McPherson; Dexter R. R. Scobee; Joseph Menke; Allen Y. Yang; S. Shankar Sastry,10.1109/iros.2018.8593865,https://doi.org/10.1109/iros.2018.8593865,openalex,4,coactive_learning,Supervisor; Robot; False positive paradox; Set (abstract data type); Reachability; Computer science; Human-computer interaction; Artificial intelligence,preference learning; reward inference; intervention learning; safety/control,8.602,11.505,"When a human supervisor collaborates with a team of robots, the human's attention is divided, and cognitive resources are at a premium. We aim to optimize the distribution of these resources and the flow of attention. To this end, we propose the model of an idealized supervisor to describe human behavior. Such a supervisor employs a potentially inaccurate internal model of the the robots' dynamics to judge safety. We represent these safety judgements by constructing a safe set from this internal model using reachability theory. When a robot leaves this safe set, the idealized supervisor will i","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Infers an objective or reward model from observed human input, demonstrations, or feedback.",the feedback can be explained by a stable latent objective; the robot can infer intent while sharing control authority,reward family,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
835,landscape,Social Cognition for Human-Robot Symbiosis-Challenges and Building Blocks,2018,Frontiers in Neurorobotics,Giulio Sandini; Vishwanathan Mohan; Alessandra Sciutti; Pietro Morasso,10.3389/fnbot.2018.00034,https://doi.org/10.3389/fnbot.2018.00034,openalex,40,interactive_imitation,Computer science; Robot; Cognition; Human-computer interaction; Social robot; Human-robot interaction; Artificial intelligence; Cognitive science,robot learning adjacent,8.602,11.005,"The next generation of robot companions or robot working partners will need to satisfy social requirements somehow similar to the famous laws of robotics envisaged by Isaac Asimov time ago (Asimov, 1942). The necessary technology has almost reached the required level, including sensors and actuators, but the cognitive organization is still in its infancy and is only partially supported by the current understanding of brain cognitive processes. The brain of symbiotic robots will certainly not be a ""positronic"" replica of the human brain: probably, the greatest part of it will be a set of intera","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; assistance may mask whether future autonomous behavior actually changed,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
836,landscape,"Learning, Generalization, and Obstacle Avoidance with Dynamic Movement Primitives and Dynamic Potential Fields",2019,Applied Sciences,Mingshan Chi; Yufeng Yao; Yaxin Liu; Ming Zhong,10.3390/app9081535,https://doi.org/10.3390/app9081535,openalex,35,lfd,Obstacle avoidance; Computer science; Generalization; Obstacle; Artificial intelligence; Robot; Path (computing); Motion (physics),kinesthetic teaching,8.594,12.910,"In order to offer simple and convenient assistance for the elderly and disabled to take care of themselves, we propose a general learning and generalization approach for a service robot to accomplish specified tasks autonomously in an unstructured home environment. This approach firstly learns the required tasks by learning from demonstration (LfD) and represents the learned tasks with dynamic motion primitives (DMPs), so as to easily generalize them to a new environment only with little modification. Furthermore, we integrate dynamic potential field (DPF) with the above DMPs model to realize",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy; the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
837,landscape,Recent Advances on Underwater Soft Robots,2023,Advanced Intelligent Systems,Juntian Qu; Yining Xu; Zhenkun Li; Zhenping Yu; Baijin Mao; Yunfei Wang; Ziqiang Wang; Qigao Fan,10.1002/aisy.202300299,https://doi.org/10.1002/aisy.202300299,openalex,98,hri_correction; human_feedback,Artificial intelligence; Biomimetics; Computer science; Robot; Soft materials; Soft robotics; Systems engineering; Underwater,physical correction; safety/control; embodied hri,8.591,11.578,"The ocean environment has enormous uncertainty due to the influence of complex waves and undercurrents. The human beings are limited in their abilities to detect and utilize marine resources without powerful tools. Soft robots employ soft materials to simplify the complex mechanical structures in rigid robots and adapt their morphology to the environment, making them suitable for performing some challenging tasks in place of manual labor. Due to superior flexible and deformable bodies, underwater soft robots have played significant roles in numerous applications in recent decades. Meanwhile, v","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
838,landscape,"Robotics, Smart Wearable Technologies, and Autonomous Intelligent Systems for Healthcare During the COVID19 Pandemic: An Analysis of the State of the Art and Future Vision",2020,Advanced Intelligent Systems,Mahdi Tavakoli; Jay Carriere; Ali Torabi,10.1002/aisy.202000071,https://doi.org/10.1002/aisy.202000071,openalex,307,kinesthetic_teaching,Coronavirus disease 2019 (COVID-19); Pandemic; Robotics; Wearable computer; 2019-20 coronavirus outbreak; Artificial intelligence; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Health care,kinesthetic teaching; safety/control,8.587,12.318,"Herein, how robotic and autonomous systems and smart wearables complement and support healthcare delivery and the healthcare staff during the COVID19 pandemic are presented. For instance, robotic and telerobotic systems significantly reduce the risk of infectious disease transmission to frontline healthcare workers by making it possible to triage, evaluate, monitor, and treat patients from a safe distance. Various examples of where the medical, engineering, and science communities come together to aid the healthcare system, healthcare workers, and society during the current crisis are presente","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
839,landscape,Expert Intervention Learning,2021,Autonomous Robots,Jonathan Spencer; Sanjiban Choudhury; Matthew Barnes; Matthew Schmittle; Mung Chiang; Peter J. Ramadge; Sidd Srinivasa,10.1007/s10514-021-10006-9,https://doi.org/10.1007/s10514-021-10006-9,openalex,27,interactive_imitation,Computer science; Intervention (counseling); Artificial intelligence; Data science; Machine learning; Medicine; Nursing,intervention learning,8.581,12.728,,Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
840,landscape,A Fast Single Image Haze Removal Algorithm Using Color Attenuation Prior,2015,IEEE Transactions on Image Processing,Qingsong Zhu; Jiaming Mai; Ling Shao,10.1109/tip.2015.2446191,https://doi.org/10.1109/tip.2015.2446191,openalex,2388,correction_learning; physical_correction,Artificial intelligence; Attenuation; Computer science; Computer vision; Diffuse sky radiation; Haze; Image restoration; Radiance,physical correction,8.578,12.578,"Single image haze removal has been a challenging problem due to its ill-posed nature. In this paper, we propose a simple but powerful color attenuation prior for haze removal from a single input hazy image. By creating a linear model for modeling the scene depth of the hazy image under this novel prior and learning the parameters of the model with a supervised learning method, the depth information can be well recovered. With the depth map of the hazy image, we can easily estimate the transmission and restore the scene radiance via the atmospheric scattering model, and thus effectively remove","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
841,landscape,"Kimera-Multi: Robust, Distributed, Dense Metric-Semantic SLAM for Multi-Robot Systems",2022,IEEE Transactions on Robotics,Yulun Tian; Yun Chang; Fernando Herrera Arias; Carlos Nieto-Granda; Jonathan P. How; Luca Carlone,10.1109/tro.2021.3137751,https://doi.org/10.1109/tro.2021.3137751,openalex,237,shared_autonomy,Robot; Notation; Computer science; Robustness (evolution); Simultaneous localization and mapping; Artificial intelligence; Metric (unit); Theoretical computer science,physical correction,8.575,12.137,"Multi-robot simultaneous localization and mapping (SLAM) is a crucial capability to obtain timely situational awareness over large areas. Real-world applications demand multi-robot SLAM systems to be robust to perceptual aliasing and to operate under limited communication bandwidth; moreover, it is desirable for these systems to capture semantic information to enable high-level decision-making and spatial artificial intelligence. This article presents <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""><tex-math notation=""LaTeX"">$ \mathsf{{","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
